SERVICE_TYPE_ID	SERVICE_TYPE_NAME
611	PSYCH-OP
3	SPEC
300	PHYS MED
202	ST
50	HOSP
205	CARD REHAB
53	ASC
2	ED
8	HOSP OP
52	HOSP-ED MED
1	PRIMARY
203	PT
7	HOSP IP
520	HOSPICE
610	PSYCH-IP
103	E-VISIT
201	OT
51	HOSP-ED ACC
515	HOME HLTH
